id;data;data_content_type;creation_date;modification_date
1;../fake-data/blob/hipster.png;image/png;2020-06-25T01:31:28;2020-06-24T17:40:07
2;../fake-data/blob/hipster.png;image/png;2020-06-24T16:15:05;2020-06-25T02:26:32
3;../fake-data/blob/hipster.png;image/png;2020-06-24T20:37:55;2020-06-24T15:54:47
4;../fake-data/blob/hipster.png;image/png;2020-06-25T10:03:29;2020-06-25T01:34:40
5;../fake-data/blob/hipster.png;image/png;2020-06-25T08:42:03;2020-06-25T07:14:43
6;../fake-data/blob/hipster.png;image/png;2020-06-24T19:53:20;2020-06-24T22:45:30
7;../fake-data/blob/hipster.png;image/png;2020-06-24T21:11:07;2020-06-25T09:15:44
8;../fake-data/blob/hipster.png;image/png;2020-06-24T23:18:48;2020-06-25T00:18:47
9;../fake-data/blob/hipster.png;image/png;2020-06-25T02:56:14;2020-06-24T20:54:57
10;../fake-data/blob/hipster.png;image/png;2020-06-24T21:29:22;2020-06-25T07:21:11
